content,published_at,source,source_type
"Harju Elekter Group financial results, 1-12/2025. Harju Elekter finished the year with strong results. Revenue reached the same level as in 2024, which is in line with the Group's normal operating volume and orders. The last quarter was the period with the highest revenue of the year and compared to the four…",2026-02-19 05:00:00+00:00,GlobeNewswire,news
"Green push gathers pace as IDFC First Bank sees rising traction in deposits and EV financing. Banks are witnessing a surge in customer interest for green products and lending, particularly driven by younger demographics' environmental consciousness. IDFC First Bank reports significant adoption of green deposits and profitable electric vehicle financin…",2026-02-19 04:38:03+00:00,The Times of India,news
"‘Blood cobalt’ is disappearing from batteries – and cheaper, cleaner batteries are arriving. Big batteries used in electric vehicles and grid storage have long relied on metals with tarnished supply chains. But this is changing.",2026-02-19 04:00:05+00:00,The Conversation Africa,news
"Waree unit to set up ₹8,175 crore battery gigafactory in Andhra Pradesh. Waree Energy Storage Solution plans to set up a 16 GWh lithium-ion gigafactory in Andhra Pradesh’s Anakapalli district with an investment of ₹8,175 crore, in what is expected to be India’s largest integrated battery manufacturing facility covering cells, batt…",2026-02-19 03:21:50+00:00,The Times of India,news
"LaMelo Ball involved in a crash in Charlotte and left the scene in with a Lamborghini. The Charlotte Hornets are having one of their best stretches in years during this February run, battling hard for a play-in spot and maybe even sneaking into the playoffs. The team",2026-02-19 03:16:37+00:00,Marca,news
"Amazon grew its Rivian electric delivery van fleet by 50% in 2025. Amazon is committed to adding 100,000 Rivian electric vans to its delivery fleet by 2030. And, if 2025 is any indication, they’re well on their way — the company grew its Rivian van fleet by more than 50% in 2025, alone.



 more…",2026-02-19 01:28:19+00:00,Electrek,news
"Tata Sons board set to clear N Chandrasekaran's third term, EGM next. Tata Trusts, the majority shareholder of the Tata Group holding company, had already passed a unanimous resolution in October last year to reappoint Chandrasekaran in an executive role. Separately, the top management of Tata Consultancy Services (TCS) will ma…",2026-02-19 00:30:00+00:00,The Times of India,news
"Mint Explainer | What India’s uneven EV adoption means for the next phase of green mobility. Adoption data shows that EVs are beginning to shape India’s emissions profile in small but visible ways. However, that impact is concentrated in specific segments rather than evenly distributed across the transport system.",2026-02-19 00:15:50+00:00,Livemint,news
"Canada’s New $5,000 EV Rebate is Live: Full List of Cars and Why Tesla is Missing. The federal government has officially launched the Electric Vehicle Affordability Program (EVAP), a new initiative designed to make zero-emission driving more accessible. Starting February 16, 2026, Canadians can receive up to $5,000 off the purchase or lease…",2026-02-18 23:41:40+00:00,iPhone in Canada,news
Ford CEO admits 'the customer has spoken' amid company's worst performance slip since 2008 financial crisis: 'It's a big miss'. The automaker plans to make changes.,2026-02-18 23:30:00+00:00,Yahoo Entertainment,news
"Hyundai cuts EV prices in response to BYD and Tesla. Hyundai and Kia slashed EV prices in South Korea, offering discounts on the IONIQ 5, IONIQ 6, EV3, and EV5 to counter recent price cuts from BYD and Tesla.



 more…",2026-02-18 23:02:25+00:00,Electrek,news
Uber Is Sinking Over $100 Million Into Charging Stations for Self-Driving Cars. The move signals the ride-hailing company is preparing for the rise of robotaxis.,2026-02-18 22:30:51+00:00,Gizmodo.com,news
Uber Has Big Plans for Lots More Robotaxis and EV Charging Stations. The ride-hailing company expects to put more robotaxis in more cities this year.,2026-02-18 22:12:34+00:00,CNET,news
Alamos Gold Reports Fourth Quarter and Year-End 2025 Results. Record free cash flow generation supports growing shareholder returns with 60% increase in dividend Record free cash flow generation supports growing shareholder returns with 60% increase in dividend,2026-02-18 22:02:00+00:00,GlobeNewswire,news
