title,description,source,published_at,url
"Harju Elekter Group financial results, 1-12/2025","Harju Elekter finished the year with strong results. Revenue reached the same level as in 2024, which is in line with the Group's normal operating volume and orders. The last quarter was the period with the highest revenue of the year and compared to the four…",GlobeNewswire,2026-02-19T05:00:00Z,https://www.globenewswire.com/news-release/2026/02/19/3240754/0/en/Harju-Elekter-Group-financial-results-1-12-2025.html
Green push gathers pace as IDFC First Bank sees rising traction in deposits and EV financing,"Banks are witnessing a surge in customer interest for green products and lending, particularly driven by younger demographics' environmental consciousness. IDFC First Bank reports significant adoption of green deposits and profitable electric vehicle financin…",The Times of India,2026-02-19T04:38:03Z,https://economictimes.indiatimes.com/markets/expert-view/green-push-gathers-pace-as-idfc-first-bank-sees-rising-traction-in-deposits-and-ev-financing/articleshow/128539203.cms
"‘Blood cobalt’ is disappearing from batteries – and cheaper, cleaner batteries are arriving",Big batteries used in electric vehicles and grid storage have long relied on metals with tarnished supply chains. But this is changing.,The Conversation Africa,2026-02-19T04:00:05Z,https://theconversation.com/blood-cobalt-is-disappearing-from-batteries-and-cheaper-cleaner-batteries-are-arriving-263808
"Waree unit to set up ₹8,175 crore battery gigafactory in Andhra Pradesh","Waree Energy Storage Solution plans to set up a 16 GWh lithium-ion gigafactory in Andhra Pradesh’s Anakapalli district with an investment of ₹8,175 crore, in what is expected to be India’s largest integrated battery manufacturing facility covering cells, batt…",The Times of India,2026-02-19T03:21:50Z,https://economictimes.indiatimes.com/industry/renewables/waree-unit-to-set-up-8175-crore-battery-gigafactory-in-andhra-pradesh/articleshow/128536056.cms
LaMelo Ball involved in a crash in Charlotte and left the scene in with a Lamborghini,"The Charlotte Hornets are having one of their best stretches in years during this February run, battling hard for a play-in spot and maybe even sneaking into the playoffs. The team",Marca,2026-02-19T03:16:37Z,https://www.marca.com/en/basketball/nba/charlotte-hornets/2026/02/19/69967e3346163fab288b4598.html
Amazon grew its Rivian electric delivery van fleet by 50% in 2025,"Amazon is committed to adding 100,000 Rivian electric vans to its delivery fleet by 2030. And, if 2025 is any indication, they’re well on their way — the company grew its Rivian van fleet by more than 50% in 2025, alone.



 more…",Electrek,2026-02-19T01:28:19Z,http://electrek.co/2026/02/18/amazon-grew-its-rivian-electric-delivery-van-fleet-by-50-in-2025/
"Tata Sons board set to clear N Chandrasekaran's third term, EGM next","Tata Trusts, the majority shareholder of the Tata Group holding company, had already passed a unanimous resolution in October last year to reappoint Chandrasekaran in an executive role. Separately, the top management of Tata Consultancy Services (TCS) will ma…",The Times of India,2026-02-19T00:30:00Z,https://economictimes.indiatimes.com/news/company/corporate-trends/tata-sons-board-set-to-clear-n-chandrasekarans-third-term-egm-next/articleshow/128522813.cms
Mint Explainer | What India’s uneven EV adoption means for the next phase of green mobility,"Adoption data shows that EVs are beginning to shape India’s emissions profile in small but visible ways. However, that impact is concentrated in specific segments rather than evenly distributed across the transport system.",Livemint,2026-02-19T00:15:50Z,https://www.livemint.com/industry/ev-adoption-india-electric-vehicle-sales-data-ev-charging-tata-motors-ashok-leyland-11771410675172.html
"Canada’s New $5,000 EV Rebate is Live: Full List of Cars and Why Tesla is Missing","The federal government has officially launched the Electric Vehicle Affordability Program (EVAP), a new initiative designed to make zero-emission driving more accessible. Starting February 16, 2026, Canadians can receive up to $5,000 off the purchase or lease…",iPhone in Canada,2026-02-18T23:41:40Z,https://www.iphoneincanada.ca/2026/02/18/canadas-new-5000-ev-rebate-eligible-cars-tesla-exclusion/
Ford CEO admits 'the customer has spoken' amid company's worst performance slip since 2008 financial crisis: 'It's a big miss',The automaker plans to make changes.,Yahoo Entertainment,2026-02-18T23:30:00Z,https://finance.yahoo.com/news/ford-ceo-admits-customer-spoken-233000597.html
